Visit #,Start Time,End Time,Ship,Length Of Stay,Ship Type,Cargo Type Name,Visit Shipping Line Name,Stevedore,GT,LOA,Arrival Berth Name,Arrival Berth Code,Departure Berth Name,Departure Berth Code
PEV-18-001099,3/30/18 17:55,4/1/18 7:35,BRENTON REEF,1d14h,TANKER,PETROLEUM,Seabulk Tankers LTD.,"TransMontaigne Product Services, Inc.",30770,619.7809,7,7,7,7
PEV-18-000827,3/30/18 18:15,4/5/18 18:00,HANDY PERTH,5d24h,BULK CARRIER,CEMENT,EMIRATES BULK CARRIERS,Lehigh Cement,23495,590.58,14,14,14,14
PEV-18-001154,3/30/18 19:50,4/1/18 11:10,GOLDEN STATE,1d15h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.",Valero Marketing & Supply Co.,29527,600.423,13,13,13,13
PEV-18-001220,3/31/18 7:50,4/1/18 8:45,PAVO J,1d1h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-001221,3/31/18 9:15,4/1/18 18:55,PEGASUS J,1d10h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8273,458.0276,33C,33C,33A,33A
PEV-18-001219,3/31/18 19:00,4/1/18 1:05,DOLE ECUADOR,6h,CONTAINER SHIP,CONTAINER,Dole Fresh Fruit International LTD.,"Sun Terminals, Inc.",16488,586.8069,31,31,31,31
PEV-18-001108,3/31/18 19:45,4/1/18 17:00,MONTE AZUL,21h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",69132,892.596,30,30,30,30
PEV-18-001168,3/31/18 21:05,4/1/18 23:35,BARGE PETROCHEM TRADER,1d3h,TANK BARGE,ETHANOL,USS Vessel Management LLC,"TransMontaigne Product Services, Inc.",10884,521.7446,9,9,9,9
PEV-18-001169,3/31/18 21:05,4/1/18 23:35,TUG BROWNSVILLE,1d3h,TUG,ETHANOL,USS Vessel Management LLC,"TransMontaigne Product Services, Inc.",1348,150.0467,9,9,9,9
PEV-18-000721,3/31/18 21:50,4/1/18 8:10,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001092,3/31/18 23:30,4/1/18 22:10,MSC KWANGYANG,23h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",74962,997.424,32,32,32,32
PEV-18-001010,4/1/18 5:55,4/1/18 16:35,ALLURE OF THE SEAS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,225282,1181.16,18,18,18,18
PEV-18-001024,4/1/18 6:15,4/1/18 16:15,REGAL PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",142714,1082.73,2,2,2,2
PEV-18-001018,4/1/18 6:55,4/1/18 16:25,CELEBRITY SILHOUETTE,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,122210,1033.515,29,29,29,29
PEV-18-001021,4/1/18 7:00,4/1/18 16:10,EURODAM,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",86273,936.4958,26,26,26,26
PEV-18-001015,4/1/18 7:15,4/1/18 18:30,CARIBBEAN PRINCESS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",112894,950.0464,19,19,19,19
PEV-18-001027,4/1/18 7:30,4/1/18 16:00,ZUIDERDAM,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Holland America Line-Westours, Inc.","Florida Stevedoring, Inc.",82305,936.463,21,21,21,21
PEV-18-001223,4/1/18 10:15,4/2/18 13:05,REGULA,1d3h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",7219,435.3887,33B,33B,33A,33A
PEV-18-001129,4/1/18 10:50,4/2/18 11:30,BARGE 750-2,1d1h,"TANK BARGE, PUSHED",GASOLINE,Nordsud Shipping,"Marathon Petroleum Company, LLC",25239,600.0293,7,7,7,7
PEV-18-001130,4/1/18 10:50,4/2/18 11:30,TUG LEGEND,1d1h,TUG,GASOLINE,Nordsud Shipping,"Marathon Petroleum Company, LLC",2164,147.645,7,7,7,7
PEV-18-001106,4/1/18 12:45,4/2/18 20:10,SEABULK ARCTIC,1d7h,TANKER,PETROLEUM,Seabulk Tanker Co.,Citgo Petroleum Corporation,30415,600.423,13,13,13,13
PEV-18-001222,4/1/18 13:30,4/2/18 3:35,K-BREEZE,14h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33C,33C,33A,33A
PEV-18-001218,4/1/18 13:45,4/1/18 20:20,AGENA,7h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",2528,284.0034,31,31,31,31
PEV-18-001184,4/1/18 19:10,4/2/18 6:10,ST LOUIS EXPRESS,11h,CONTAINER SHIP,CONTAINER,Hapag Lloyd,"Florida International Terminal, LLC",40146,798.4313,30,30,30,30
PEV-18-000955,4/1/18 21:50,4/3/18 8:10,JAUME I,1d10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001240,4/1/18 23:40,4/2/18 8:35,GREEN FAST,9h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",5522,386.8627,31,31,31,31
PEV-18-001193,4/2/18 1:25,4/3/18 3:10,TUG BARBARA E. BOUCHARD,1d2h,TUG,GASOLINE,Bouchard Transportation.,"TransMontaigne Product Services, Inc.",199,121.0033,9,9,9,9
PEV-18-001192,4/2/18 1:25,4/3/18 3:10,BARGE BOUCHARD 240,1d2h,BARGE CARRIER,GASOLINE,Bouchard Transportation.,"TransMontaigne Product Services, Inc.",9242,446,9,9,9,9
PEV-18-001031,4/2/18 5:25,4/2/18 16:40,CELEBRITY REFLECTION,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,125366,1046.639,29,29,29,29
PEV-18-001033,4/2/18 5:30,4/2/18 22:05,CELEBRITY SUMMIT,17h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,90940,964.614,19,19,19,19
PEV-18-001030,4/2/18 5:55,4/2/18 13:10,CELEBRITY INFINITY,7h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,90280,964.614,4,4,4,4
PEV-18-001034,4/2/18 6:15,4/2/18 15:55,ZAANDAM,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",60906,777.6001,26,26,26,26
PEV-18-001236,4/2/18 6:45,4/2/18 17:05,VANQUISH,10h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-18-000985,4/2/18 7:45,4/2/18 13:40,MAERSK WILMINGTON,6h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",17280,564.2992,30,30,30,30
PEV-18-001201,4/2/18 7:55,4/4/18 19:25,WARNOW WHALE,2d11h,CONTAINER SHIP,CONTAINER,Solymar/Agriex Line,Portus-PEV LLC,15375,545.1381,17,17,27,27
PEV-18-001091,4/2/18 10:40,4/2/18 18:55,ALLEGRO,8h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,32,32,32,32
PEV-18-001233,4/2/18 15:45,4/3/18 2:10,SPIRIT OF LISBON,10h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",40541,856.4722,30,30,30,30
PEV-18-001083,4/2/18 18:30,4/3/18 8:05,MSC CADIZ,14h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",61870,887.1824,31,31,31,31
PEV-18-001122,4/2/18 21:50,4/4/18 19:55,TUG OSG COLUMBIA,1d22h,TUG,PETROLEUM,OSG America,Valero Marketing & Supply Co.,709,131.0103,13,13,5,5
PEV-18-001123,4/2/18 21:50,4/4/18 19:55,BARGE OSG 242,1d22h,BARGE CARRIER,PETROLEUM,OSG Ship Management,Valero Marketing & Supply Co.,11951,580.6714,13,13,5,5
PEV-18-001229,4/2/18 22:45,4/3/18 19:00,K-STORM,20h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,32,32,32,32
PEV-18-001109,4/3/18 4:55,4/4/18 22:00,HOEGH MASAN,1d17h,VEHICLES CARRIER,AUTOMOBILES,Hoegh Autoliners,Logistec Stevedoring Inc.,44219,588.8575,29,29,29,29
PEV-18-001037,4/3/18 5:40,4/3/18 17:20,OOSTERDAM,12h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",82305,935.8724,19,19,19,19
PEV-18-001238,4/3/18 6:35,4/3/18 14:35,VANTAGE,8h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-18-001036,4/3/18 6:40,4/3/18 20:10,INDEPENDENCE OF THE SEAS,14h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,154407,1111.9965,18,18,18,18
PEV-18-001174,4/3/18 7:45,4/3/18 16:25,TIGER,9h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",25756,680.6763,30,30,30,30
PEV-18-001035,4/3/18 7:50,4/3/18 18:40,CROWN PRINCESS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",113561,946.995,2,2,2,2
PEV-18-001225,4/3/18 8:50,4/3/18 15:15,FIESTA MAIL,6h,CONTAINER SHIP,CONTAINER,MAILBOAT COMPANY,Portus-PEV LLC,2485,225.175,21,21,21,21
PEV-18-001242,4/3/18 10:10,4/3/18 23:05,BARGE RTC 101,13h,BARGE CARRIER,PETROLEUM,Reinauer Transportation,"Motiva Enterprises, LLC",6220,409.3,9,9,9,9
PEV-18-001243,4/3/18 10:10,4/3/18 23:05,TUG MORGAN REINAUER,13h,TUG,PETROLEUM,Reinauer Transportation,"Motiva Enterprises, LLC",184,0,9,9,9,9
PEV-18-001230,4/3/18 12:30,4/4/18 5:00,TUCANA J,17h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-001250,4/3/18 13:35,4/6/18 22:25,SOPHIA,3d9h,GENERAL CARGO,LAY-IN,Hansa Heavy Lift,STEVEDORE NOT REQUIRED,9616,452.8764,4,4,4,4
PEV-18-001237,4/3/18 15:00,4/5/18 15:15,CARIBE NAVIGATOR,2d,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2996,327.9359,16,16,16,16
PEV-18-001175,4/3/18 18:15,4/4/18 1:40,MAERSK WEYMOUTH,7h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",18123,574.5031,31,31,31,31
PEV-18-001248,4/3/18 19:20,4/4/18 18:15,LINDA D,23h,LANDING CRAFT,CONTAINER,Seacor Marine Inc.,SEACOR Island Lines LLC,1092,209.3278,15,15,17,17
PEV-18-001282,4/3/18 19:25,4/4/18 12:45,RIO BARROW,17h,CONTAINER SHIP,CONTAINER,Hapag Lloyd,"Florida International Terminal, LLC",65059,901.4876,30,30,30,30
PEV-18-000956,4/3/18 21:45,4/5/18 8:05,JAUME I,1d10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001245,4/4/18 0:55,4/5/18 13:10,GARDEN STATE,1d12h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.","Motiva Enterprises, LLC",29923,610.266,9,9,9,9
PEV-18-001232,4/4/18 1:15,4/5/18 23:05,AS FIORELLA,1d22h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",15375,545.1381,32,32,32,32
PEV-18-001241,4/4/18 3:00,4/4/18 17:20,GREEN FAST,14h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",5522,386.8627,31,31,31,31
PEV-18-001252,4/4/18 5:30,4/5/18 11:10,TUG TINA PYNE,1d6h,TUG,PETROLEUM,Kirby Offshore Marine,"Transmontaigne Product Services, Inc.",1180,135.9974,13,13,13,13
PEV-18-001251,4/4/18 5:30,4/5/18 11:10,BARGE KIRBY 185-02,1d6h,TANK BARGE,PETROLEUM,Kirby Offshore Marine,"Transmontaigne Product Services, Inc.",11647,578,13,13,13,13
PEV-18-001038,4/4/18 7:10,4/4/18 17:05,VEENDAM,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",57092,719.228,21,21,21,21
PEV-18-001231,4/4/18 9:50,4/5/18 4:15,DENEB J,18h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8280,458.0276,33A,33A,33A,33A
PEV-18-001200,4/4/18 10:00,4/4/18 20:55,VI-NAIS,11h,GENERAL CARGO,CONTAINER,COASTLINE SHIPLINE LIMITED,"Host Terminals, LLC",487,190.0355,18,18,18,18
PEV-18-001090,4/4/18 11:00,4/4/18 20:00,JSP AMIHAN,9h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",9996,456.6168,32,32,32,32
PEV-18-001226,4/4/18 18:00,4/4/18 22:20,CAPE MAIL,4h,CONTAINER SHIP,CONTAINER,MAILBOAT COMPANY,Portus-PEV LLC,858,218.0224,21,21,21,21
PEV-18-001280,4/4/18 18:50,4/5/18 17:15,VEGA LUNA,22h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9940,485.1615,31,31,31,31
PEV-18-001234,4/4/18 19:50,4/5/18 2:00,JPO CAPRICORNUS,6h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",41359,866.184,30,30,30,30
PEV-18-001244,4/5/18 0:05,4/6/18 9:35,TEXAS,1d9h,TANKER,PETROLEUM,Exxon,ExxonMobil Oil Corporation,29801,601.4401,7,7,7,7
PEV-18-000997,4/5/18 4:05,4/8/18 1:00,HTC DELTA,2d21h,BULK CARRIER,STEEL,Bulk Atlantic,Portus-PEV LLC,32987,623.3572,29,29,29,29
PEV-18-001279,4/5/18 6:50,4/7/18 0:10,HOHEBANK,1d17h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9996,456.3871,17,17,17,17
PEV-18-001277,4/5/18 7:20,4/7/18 3:15,ROTHORN,1d20h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",12029,515.5107,33A,33A,33A,33A
PEV-18-001247,4/5/18 8:50,4/6/18 15:00,GRAND EXPRESS,1d6h,LANDING CRAFT,CONTAINER,Seacor Marine Inc.,SEACOR Island Lines LLC,1671,256.2461,11,11,15,15
PEV-18-001159,4/5/18 12:45,4/6/18 16:25,OVERSEAS NEW YORK,1d4h,TANKER,PETROLEUM,OSG Ship Management,Valero Marketing & Supply Co.,29242,601.0792,13,13,13,13
PEV-18-001294,4/5/18 12:55,4/5/18 18:55,YACHT AURORA,6h,YACHT,FOR BUNKERS ONLY/STORES,Owner (Misc Vessel) Not Listed.,STEVEDORE NOT REQUIRED,2113,242.794,3,3,3,3
PEV-18-001293,4/5/18 14:15,4/5/18 22:50,CHARLOTTE,9h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",2035,297.2586,31,31,31,31
PEV-18-001239,4/5/18 15:30,4/5/18 21:35,VANTAGE,6h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-18-001296,4/5/18 21:10,4/6/18 19:45,TUG GULF VENTURE,23h,TUG,ETHANOL,"Transmontaigne Product Services, Inc.",TransMontaigne Operating Company L.P.,701,122.004,9,9,9,9
PEV-18-001295,4/5/18 21:10,4/6/18 19:45,BARGE GULF CARRIER,23h,TANK BARGE,ETHANOL,"Transmontaigne Product Services, Inc.",TransMontaigne Operating Company L.P.,6402,481,9,9,9,9
PEV-18-000957,4/5/18 21:45,4/6/18 7:55,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001095,4/6/18 4:10,4/7/18 13:25,BARGE EMI 1151,1d9h,CEMENT CARRIER,SLAG,LEHIGH CEMENT COMPANY,Lehigh Cement,3631,360,14,14,14,14
PEV-18-001094,4/6/18 4:10,4/7/18 13:25,TUG DUTY,1d9h,TUG,SLAG,LEHIGH CEMENT COMPANY,Lehigh Cement,332,102.0391,14,14,14,14
PEV-18-001276,4/6/18 5:15,4/6/18 19:05,CHIQUITA EXPRESS,14h,CONTAINER SHIP,CONTAINER,"Chiquita Fresh North America, LLC","Florida International Terminal, LLC",27059,695.0798,30,30,30,30
PEV-18-000986,4/6/18 6:25,4/6/18 15:15,MAERSK OHIO,9h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida Stevedoring, Inc.",50686,958.3145,32,32,32,32
PEV-18-001281,4/6/18 7:05,4/7/18 19:35,MELBOURNE STRAIT,1d13h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",21018,589.4316,31,31,31,31
PEV-18-001136,4/6/18 7:20,4/6/18 20:00,SILVER WIND,13h,PASSENGER SHIP,CRUISE - MULTI-DAY,Silversea Cruises,Ceres Marine Terminals Inc.,17235,511.2126,19,19,19,19
PEV-18-001313,4/6/18 8:10,4/6/18 23:20,CARIBE MARINER,15h,CONTAINER SHIP,LAY-IN,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2899,325.7049,11,11,11,11
PEV-18-001202,4/6/18 11:20,4/7/18 17:30,AMERICAN LIBERTY,1d6h,TANKER,PETROLEUM,Nordsud Shipping,"Marathon Petroleum Company, LLC",29801,601.4401,7,7,7,7
PEV-18-001249,4/6/18 15:30,4/6/18 22:00,PELAGIC EXPRESS,7h,GENERAL CARGO,CONTAINER,Seacor Marine Inc.,H. T. Shipping Inc and Hybur Ltd.,1867,266.9094,15,15,15,15
PEV-18-001186,4/6/18 18:05,4/8/18 9:15,OVERSEAS NIKISKI,1d15h,TANKER,JET FUEL,OSG Ship Management,Valero Marketing & Supply Co.,29242,601.0792,13,13,13,13
PEV-18-001246,4/6/18 21:35,4/8/18 3:35,TEXAS VOYAGER,1d6h,TANKER,GASOLINE,Chevron USA,Chevron USA,29923,610.266,9,9,9,9
PEV-18-000958,4/6/18 21:40,4/7/18 8:10,JAUME I,11h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001316,4/7/18 4:35,4/7/18 18:55,K-BREEZE,14h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-001286,4/7/18 5:10,4/7/18 15:05,ALLEGRO,10h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,32,32,32,32
PEV-18-001137,4/7/18 6:10,4/7/18 16:35,HARMONY OF THE SEAS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,226963,1188.1157,18,18,18,18
PEV-18-001141,4/7/18 7:00,4/7/18 16:20,NIEUW AMSTERDAM,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Holland America Line-Westours, Inc.","Florida Stevedoring, Inc.",86273,936.0693,26,26,26,26
PEV-18-001235,4/7/18 8:20,4/7/18 21:45,TABEA,13h,CONTAINER SHIP,CONTAINER,Hapag Lloyd,"Florida International Terminal, LLC",66280,904.8998,30,30,30,30
